
Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 61.0213: (DELIVER_BOX_TO_WS R2 B6 WS5 L4 BOLT6) [D:1.0000; C:1.0000]
 62.0215: (EMPTY_BOX R2 B6 BOLT6 L4 WS5) [D:1.0000; C:1.0000]
 63.0218: (BOLT_ACQUIRED WS5 BOLT6) [D:1.0000; C:1.0000]
 54.0220: (PICK_BOX_FROM_LOCATION R1 B5 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 55.0223: (MOVE_BOX_AND_ROBOT R1 CENTRALWAREHOUSE L2 B5) [D:1.0000; C:1.0000]
 56.0225: (DELIVER_BOX_TO_WS R1 B5 WS2 L2 TOOL5) [D:1.0000; C:1.0000]
 57.0228: (EMPTY_BOX R1 B5 TOOL5 L2 WS2) [D:1.0000; C:1.0000]
 58.0230: (MOVE_ROBOT R1 L2 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 59.0233: (FILL_BOX R1 B4 BOLT3 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 60.0235: (PICK_BOX_FROM_LOCATION R1 B4 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 61.0238: (MOVE_BOX_AND_ROBOT R1 CENTRALWAREHOUSE L2 B4) [D:1.0000; C:1.0000]
 62.0240: (DELIVER_BOX_TO_WS R1 B4 WS2 L2 BOLT3) [D:1.0000; C:1.0000]
 63.0243: (EMPTY_BOX R1 B4 BOLT3 L2 WS2) [D:1.0000; C:1.0000]
 64.0245: (MOVE_ROBOT R1 L2 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 65.0247: (FILL_BOX R1 B3 VALVE4 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 66.0250: (PICK_BOX_FROM_LOCATION R1 B3 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 67.0253: (MOVE_BOX_AND_ROBOT R1 CENTRALWAREHOUSE L1 B3) [D:1.0000; C:1.0000]
 51.0255: (BOLT_ACQUIRED WS6 BOLT6) [D:1.0000; C:1.0000]
 68.0257: (DELIVER_BOX_TO_WS R1 B3 WS1 L1 VALVE4) [D:1.0000; C:1.0000]
 69.0260: (EMPTY_BOX R1 B3 VALVE4 L1 WS1) [D:1.0000; C:1.0000]
 63.0262: (MOVE_ROBOT R2 L4 L3) [D:1.0000; C:1.0000]
 64.0265: (FILL_BOX R2 B6 BOLT6 L3) [D:1.0000; C:1.0000]
 64.0267: (MOVE_ROBOT R3 L5 L4) [D:1.0000; C:1.0000]
 68.0270: (MOVE_ROBOT R2 L3 CENTRALWAREHOUSE) [D:1.0000; C:1.0000]
 69.0273: (MOVE_ROBOT R3 L4 L3) [D:1.0000; C:1.0000]
 70.0275: (PICK_BOX_FROM_LOCATION R3 B6 L3) [D:1.0000; C:1.0000]
 71.0277: (DELIVER_BOX_TO_WS R3 B6 WS3 L3 BOLT6) [D:1.0000; C:1.0000]
 72.0280: (EMPTY_BOX R3 B6 BOLT6 L3 WS3) [D:1.0000; C:1.0000]
 73.0283: (BOLT_ACQUIRED WS3 BOLT6) [D:1.0000; C:1.0000]
 58.0285: (TOOL_ACQUIRED WS2 TOOL5) [D:1.0000; C:1.0000]
 64.0287: (BOLT_ACQUIRED WS2 BOLT3) [D:1.0000; C:1.0000]
 70.0290: (VALVE_ACQUIRED WS1 VALVE4) [D:1.0000; C:1.0000]


Solution found:
Total time:      16.65
Search time:     0.66
Actions:         116
Execution cost:  116.00
Duration:        74.000
Plan quality:    116.000
